64612,L'amour est dans le pré,fr,1,8.0,2012-01-26,2022-04-07,true,5.362,[Romance,  Reality]
62863,High Society,ko,19,7.2,2015-06-08,2015-07-28,false,8.274,[Romance,  Drama]
60733,No-Rin,ja,14,7.143,2014-01-11,2014-03-28,false,4.234,[Romance,  Animation,  Comedy]
54190,Maya Tawan,th,2,6.5,2013-04-03,2013-07-18,false,2.327,[Romance,  Comedy]
62894,Star Struck,ja,2,5.0,2001-10-11,2011-12-13,false,1.903,[Romance]
44656,Goodbye Dear Wife,ko,3,4.7,2012-05-07,2012-07-10,false,4.502,[Romance,  Comedy]
