105696,Scooby-Doo!: Behind the Scenes,en,34,10.0,1998-01-01,1998-02-19,false,5.165,[Family,  Animation,  Action & Adventure,  Kids,  Comedy,  Mystery]
6070,Oliver's Twist,en,2,10.0,2002-05-14,2008-10-22,true,15.571,[Family]
196844,Det rene vanvid,da,2,10.0,2022-04-04,2022-05-17,true,0.6,[Family]
76456,توب شيف,ar,2,10.0,2016-09-21,2022-12-07,true,4.313,[Family]
114860,The Masked Singer,nl,2,10.0,2020-09-18,2023-04-28,true,16.907,[Family,  Reality]
233759,Baby Gorilla Cam,en,2,10.0,2023-09-07,2023-09-28,true,6.731,[Family,  Documentary]
228980,Her Fall Doesn't Cry,tr,2,10.0,2023-06-22,2023-09-28,true,37.886,[Family,  Comedy,  Drama]
198218,Linde på Langeland,da,2,10.0,2022-04-13,2023-06-08,true,616.0,[Family]
209636,Just For Laughs: Redux,en,2,10.0,2017-07-01,2017-07-01,false,1.4,[Family,  Drama,  Mystery,  Comedy]
41427,Die Knickerbocker-Bande,de,2,10.0,1997-11-22,1998-02-14,false,2.23,[Family]
209736,Get on a Flat,cn,2,10.0,2022-10-17,2022-11-11,false,3.278,[Family,  Comedy]
103455,Hipnotízame,es,1,10.0,2016-03-23,2019-01-04,false,3.541,[Family]
40974,Nesthocker – Familie zu verschenken,de,1,10.0,2000-01-11,2002-05-28,false,3.45,[Family]
71576,La casita sobre la roca,es,1,10.0,2017-05-05,2017-05-05,true,929.0,[Family,  Animation,  Kids]
82507,Die Kids von Berlin,de,1,10.0,1997-10-29,1998-01-28,false,2.454,[Family]
95708,Chinese Style Relationship,zh,1,10.0,2016-09-07,2016-09-07,false,3.416,[Family,  Drama]
206563,Jumea (Friday),ku,1,10.0,,2004-03-01,false,0.0,[Family,  Drama,  Comedy]
91375,To Love With Love,cn,1,10.0,1995-06-01,1995-06-28,false,828.0,[Family]
220387,Camp Radio,en,1,10.0,2022-10-29,2022-12-31,true,2.129,[Family,  Comedy]
104060,Stjärnor hos Babben,sv,1,10.0,2014-02-21,2015-05-01,false,1.96,[Family,  Talk]
91370,Jugnoo,ur,1,10.0,2015-04-17,2015-08-14,false,1.022,[Family,  Drama]
33749,Friends and Heroes,en,1,10.0,2007-03-12,2007-03-23,false,73.058,[Family,  Animation,  Action & Adventure,  Kids]
99025,The Outlander,zh,1,10.0,2009-10-20,2009-10-20,false,1.418,[Family,  Drama]
41050,Die Kinder vom Alstertal,de,1,10.0,1998-12-07,2004-12-17,false,1.235,[Family]
89294,Bitter Coffee,zh,1,10.0,2010-08-03,2010-08-30,false,1.807,[Family,  Drama]
93470,Ha Ha Hairies,en,1,10.0,,2012-06-07,false,0.6,[Family,  Comedy]
41062,Unsere schönsten Jahre,de,1,10.0,1983-09-01,1985-10-12,false,5.376,[Family]
203783,Till Eulenspiegel,de,1,10.0,2014-12-25,2014-12-26,false,1.816,[Family,  Action & Adventure]
226097,Futari no Sekai,ja,1,10.0,1970-12-01,1971-05-25,false,1.506,[Family,  Drama]
226033,Sepia Network,en,1,10.0,2019-11-22,2019-11-22,false,0.6,[Family,  Kids]
59888,Clown Ferdinand,de,1,10.0,1973-12-25,1975-01-04,true,1.924,[Family]
80232,Medal of Honor,en,1,10.0,2000-11-11,2001-11-11,true,2.073,[Family,  Drama]
50251,Kugapai Cintamu,id,1,10.0,2007-06-09,2007-06-09,false,1.122,[Family,  Drama,  Soap]
50250,Andini,id,1,10.0,,,false,1.205,[Family,  Drama,  Soap]
85034,Jamie Cooks Italy,en,1,10.0,2018-08-13,2018-10-01,false,891.0,[Family]
219793,N'oubliez pas les paroles!,fr,1,10.0,2007-12-15,2007-12-15,true,1.4,[Family]
131327,Moraeus med mera,sv,1,10.0,2011-09-04,2017-12-23,false,2.183,[Family,  Reality,  Talk]
131819,Super Carla,da,1,10.0,1968-02-03,1968-03-02,false,2.386,[Family,  Kids]
69375,Terra X - Deutschlands Supergrabungen,de,1,10.0,2012-04-01,2012-04-01,true,885.0,[Family,  Documentary]
211540,Felix og Åmanden,da,1,10.0,2022-10-03,2022-10-03,true,1.849,[Family,  Mystery]
91156,Ek Kasak Reh Gaee,ur,1,10.0,2013-09-16,2014-03-10,false,3.71,[Family,  Drama,  Family,  Soap]
203236,The All New Hafiz & Friends,en,1,10.0,2022-02-13,2022-05-22,true,0.6,[Family,  Documentary]
106409,Ariyoshi no Okane Hakken,ja,1,10.0,2018-03-24,2022-05-21,true,0.6,[Family,  Talk,  Comedy]
91168,Goya,ur,1,10.0,2015-11-08,2016-06-19,false,6.779,[Family,  Drama,  Soap]
98251,请你原谅我,zh,1,10.0,2011-08-27,2012-03-17,false,2.286,[Family,  Drama]
155237,Beautiful Trap,zh,1,10.0,2013-12-12,2014-09-04,true,2.318,[Family]
132657,Unsinkable Bones,en,1,10.0,2003-03-08,2003-03-08,false,2.378,[Family,  Kids]
127269,Ishq Jalebi,ur,1,10.0,2021-04-14,2021-05-16,true,8.91,[Family,  Comedy,  Drama]
28921,Riding High,en,1,10.0,1995-12-31,1996-08-12,false,8.274,[Family,  Kids]
91419,Kathputli,ur,1,10.0,2016-06-11,2016-10-15,false,1.74,[Family,  Drama]
